id,build_central_id,title,value_min,value_max,value_display,start_date,end_date,city,state,postal_code,county_fips,country,sector,stage,construction_type,commercial_real_estate,project_type,project_details,latitude,longitude,source_updated_at,source_published_updated_at,created_at,updated_at,sf_account_id,payload_hash
173593,36853,Animal Control Facility,1000000.00,1000000.00,"$1,000,000",2008-01-01,,Clarksville,TN,37040,47125,"",Public,Completed,[],[3],Medical,"Plans call for converting an existing 6,600 square foot facility, formerly used as a Budweiser vehicle maintenance facility, into an animal control facility. The design includes a more modern ventilation system, 47 kennels, and separate rooms for cats, puppies and kittens.",36.5226330,-87.3349320,2007-01-30 12:23:00,2007-01-30 12:23:00,2026-08-31 23:19:45,2026-08-31 23:19:45,,12
173592,710159,Good Samaritan Regional Health Center Replacement,169000000.00,169000000.00,"$169,000,000",2010-04-01,2013-01-01,Mount Vernon,IL,62864,17081,"",Private,Completed,[1],[3],Medical,"Plans call for a 134-bed acute care center. The 382,000square-foot facility will include private patient rooms, advanced nurse care stations and outpatient services",38.2999280,-88.9421950,2015-11-16 10:17:44,2007-02-07 18:04:00,2026-08-31 23:19:45,2026-08-31 23:19:45,,12
173591,718749,Chester County Hospital,98200000.00,98200000.00,"$98,200,000",2012-01-01,2013-07-01,West Chester,PA,19380,42029,"",Private,Completed,[2],[3],Medical,Plans call for a new patient care tower at the Chester County Hospital. It will have four levels above grade with a below-grade procedural platform for surgery and interventional procedures. Phase I will add 48 beds with plans for an additional 24 beds in Phase II.,39.9956920,-75.5447270,2015-11-12 15:50:37,2007-02-20 15:46:00,2026-08-31 23:19:45,2026-08-31 23:19:45,,12
